,heur,n_filmes,n_categorias,tempo_ex,n_assistidos,tempo_tela,media
0,aleat,120,19,0.0070827159797772765,7,23,3.28571
0,aleat,120,20,0.004950183967594057,7,19,2.71429
0,aleat,125,1,0.004511794017162174,1,2,2.0
0,aleat,125,2,0.00474198698066175,3,12,4.0
0,aleat,125,3,0.004618197970557958,4,14,3.5
0,aleat,125,4,0.004843212955165654,6,27,4.5
0,aleat,125,5,0.004826456017326564,6,21,3.5
0,aleat,125,6,0.004653613024856895,8,25,3.125
0,aleat,125,7,0.00488008395768702,8,26,3.25
0,aleat,125,8,0.004672593029681593,6,20,3.33333
0,aleat,125,9,0.004700749006588012,8,23,2.875
0,aleat,125,10,0.00465198396705091,7,21,3.0
0,aleat,125,11,0.004376068012788892,7,22,3.14286
0,aleat,125,12,0.004829878045711666,7,22,3.14286
0,aleat,125,13,0.004576648003421724,6,17,2.83333
0,aleat,125,14,0.004907123977318406,8,25,3.125
0,aleat,125,15,0.004818095010705292,8,22,2.75
0,aleat,125,16,0.004742387973237783,7,22,3.14286
0,aleat,125,17,0.004739987023640424,8,23,2.875
